Bytes, Url
15735873,   "http://sgpc.net/puratan-kirtan/chater singh/Ja ko raakhe rakhanhaar.mp3",
6745989,   "http://sgpc.net/puratan-kirtan/chater singh/Je tu akal latif hain.mp3",
13038783,   "http://sgpc.net/puratan-kirtan/chater singh/Jis manukh peh karo benti.mp3",
22846613,   "http://sgpc.net/puratan-kirtan/chater singh/Jo deesa gursikhra.mp3",
4500295,   "http://sgpc.net/puratan-kirtan/chater singh/Kaahe re ban khojan jayee.mp3",
8393166,   "http://sgpc.net/puratan-kirtan/chater singh/Kahe man tu dolta.mp3",
4798717,   "http://sgpc.net/puratan-kirtan/chater singh/Kaho nanak jiara balhari.mp3",
31295240,   "http://sgpc.net/puratan-kirtan/chater singh/Kahoo ki sangat mil jivan mukat hoe.mp3",
16702195,   "http://sgpc.net/puratan-kirtan/chater singh/Kam kite pio chaliya.mp3",
14213666,   "http://sgpc.net/puratan-kirtan/chater singh/Kirat virat kar dharam di.mp3",
13260301,   "http://sgpc.net/puratan-kirtan/chater singh/Lakh khushiyan patshahian.mp3",
6865108,   "http://sgpc.net/puratan-kirtan/chater singh/Main andhule ki take.mp3",
11781144,   "http://sgpc.net/puratan-kirtan/chater singh/Main banjaran raam ki.mp3",
18444667,   "http://sgpc.net/puratan-kirtan/chater singh/Main bauri mera raam bhataar.mp3",
7851909,   "http://sgpc.net/puratan-kirtan/chater singh/Mangna mangan neeka.mp3",
10821509,   "http://sgpc.net/puratan-kirtan/chater singh/Man mere tin ki oat leh.mp3",
20425375,   "http://sgpc.net/puratan-kirtan/chater singh/Man re kio choote bin pyaar.mp3",
13459668,   "http://sgpc.net/puratan-kirtan/chater singh/Manukh bin booje birtha aya.mp3",
14848128,   "http://sgpc.net/puratan-kirtan/chater singh/Maran na manga loka aakhiyea.mp3",
12332850,   "http://sgpc.net/puratan-kirtan/chater singh/Mat ko bharam bhule sansaar.mp3",
8908092,   "http://sgpc.net/puratan-kirtan/chater singh/Mayee honhaar so hoeyee hai.mp3",
6914427,   "http://sgpc.net/puratan-kirtan/chater singh/Mera gurpoora sukh daata.mp3",
15356366,   "http://sgpc.net/puratan-kirtan/chater singh/Mere man aise bhagat ban aayee.mp3",
8980399,   "http://sgpc.net/puratan-kirtan/chater singh/Mere man mukh har har har boliyea.mp3",
9740667,   "http://sgpc.net/puratan-kirtan/chater singh/Mere raam har jan ke haun bal jeeyee.mp3",
10729140,   "http://sgpc.net/puratan-kirtan/chater singh/Mil mere pritma jio tud bin khari nimani.mp3",
7907916,   "http://sgpc.net/puratan-kirtan/chater singh/Moo lalan sio preet bani 1.mp3",
17709895,   "http://sgpc.net/puratan-kirtan/chater singh/Naath kachhu na jano.mp3",
11201957,   "http://sgpc.net/puratan-kirtan/chater singh/Namo Namo Namo Namo.mp3",
15601290,   "http://sgpc.net/puratan-kirtan/chater singh/Nanak ki dhar tu hai thakur.mp3",
4389117,   "http://sgpc.net/puratan-kirtan/chater singh/Poota maata ki asees.mp3",
11608944,   "http://sgpc.net/puratan-kirtan/chater singh/Raamdas sarover naate.mp3",
8860445,   "http://sgpc.net/puratan-kirtan/chater singh/Raam simar raam simar bhai.mp3",
13475550,   "http://sgpc.net/puratan-kirtan/chater singh/Ras ras gun gavo thakur ke.mp3",
12626675,   "http://sgpc.net/puratan-kirtan/chater singh/Sabhe sukh tah ji.mp3",
9281748,   "http://sgpc.net/puratan-kirtan/chater singh/Sachiyar sikh baithe satgur paas.mp3",
8016167,   "http://sgpc.net/puratan-kirtan/chater singh/Sach vapar karo vaparee.mp3",
9788314,   "http://sgpc.net/puratan-kirtan/chater singh/Sadh sang jo tume milayo.mp3",
31571929,   "http://sgpc.net/puratan-kirtan/chater singh/Salok sheikh Farid.mp3",
12297323,   "http://sgpc.net/puratan-kirtan/chater singh/Satgur sikh ki kare pritpaal.mp3",
15359292,   "http://sgpc.net/puratan-kirtan/chater singh/So sukh moko sant batavo.mp3",
16586420,   "http://sgpc.net/puratan-kirtan/chater singh/Tere darsan vito khaniyea vanjhah.mp3",
12240481,   "http://sgpc.net/puratan-kirtan/chater singh/Teri akath katha kathan na jayee.mp3",
9533359,   "http://sgpc.net/puratan-kirtan/chater singh/Tu daata baso mere man mahee.mp3",
12304428,   "http://sgpc.net/puratan-kirtan/chater singh/Tu har man bhaj mere pad nirbaan.mp3",
10345872,   "http://sgpc.net/puratan-kirtan/chater singh/Tu jivan tu praan adhara.mp3",
5863677,   "http://sgpc.net/puratan-kirtan/chater singh/Tu mera thakur haun daas tera.mp3",
25583828,   "http://sgpc.net/puratan-kirtan/chater singh/Tu samrath vada meri mat thori raam.mp3",
11993587,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/ab%2520ham%2520chali%2520thakur%2520kay%5B1%5D.mp3",
7021965,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/asi%2520kirpa%2520kro%2520prabh%2520meray%5B1%5D.mp3",
4514202,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/hamari%2520payari%2520amrit%2520dhari%5B1%5D.mp3",
10767707,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/Jasi%2520teri%2520chaal%5B1%5D.mp3",
7716193,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/jay%2520ko%2520apni%2520sobha%2520loray%5B1%5D.mp3",
9561484,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/kahay%2520ray%2520ban%2520khojan%2520jai%5B1%5D.mp3",
9737033,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/man%2520ray%2520prabh%2520ki%2520saran%2520vicharo%5B1%5D.mp3",
8809989,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/meray%2520lalan%2520ki%2520sobha%5B1%5D.mp3",
10103572,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/prabh%2520sao%2520lag%2520rahio%2520%5B1%5D.mp3",
9761266,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/sadho%2520man%2520ka%2520maan%2520tago%5B1%5D.mp3",
8025064,   "http://sgpc.net/puratan-kirtan/DALBIR SINGH/thakur%2520gaiya%2520atam%2520rang%5B1%5D.mp3",
19391645,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/01 Agam Anant Anad aad Jis Koyee Na.mp3",
15153113,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/01 Basant Rut Aayee.mp3",
4833700,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/01 Introduction.mp3",
5727758,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/01 Nasro Manssor Gur Gobind Singh.mp3",
16009950,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/01 sun sakheeyay meri needn bhalee.mp3",
8028588,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/02 Dhan Dhan Ramdas Gur.mp3",
16963606,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/02 dheero dekh tumhare ranga.mp3",
15171084,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/02 Pahal Basantai Agaman.mp3",
20011086,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/02 Santa Ke Karaj Aap.mp3",
15076567,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/03 Dhann SO Dess Jahaan Tu Vasiya.mp3",
14377388,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/03 Gur Stgur Ka Jo Sikh Akhave.mp3",
5419570,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/03 Sabadai Sada Basant Hai.mp3",
11318763,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/04 Bin Kartar Na Kirtam Mano.mp3",
16771877,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/05 Har Kirtan Sune.mp3",
9877670,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/05 Prabh Poori Loch Hamari.mp3",
9423108,   "http://sgpc.net/puratan-kirtan/Darshan Singh Sohal/05 Sun Vadhbhagiya Har Amrit Bani Ra.mp3",
